estimate,se,df,t.stat,p.value,lower.ci,upper.ci,yr,p_0.5
0.387396283,0.052299005,522,7.407335584,5.21E-13,0.301372075,0.473420492,2003,0.5
0.479285828,0.049259338,522,9.729847185,1.13E-20,0.398261427,0.560310228,2004,0.5
0.310886889,0.052805322,522,5.887415876,7.03E-09,0.224029864,0.397743913,2005,0.5
0.378415191,0.057599294,522,6.569788742,1.22E-10,0.283672784,0.473157599,2006,0.5
0.486284723,0.052068721,522,9.339286895,2.79E-19,0.400639299,0.571930148,2007,0.5
0.578945472,0.046990843,522,12.32038913,8.52E-31,0.501652414,0.656238531,2008,0.5
0.426857438,0.041287821,522,10.33858006,6.43E-23,0.358945016,0.494769859,2009,0.5
0.647368475,0.044393264,522,14.58258339,1.19E-40,0.574348053,0.720388896,2010,0.5
0.757809309,0.038981098,522,19.44042992,9.85E-64,0.693691108,0.82192751,2011,0.5
0.679817195,0.033905714,522,20.05022476,9.83E-67,0.624047257,0.735587132,2012,0.5
0.64097184,0.038568537,522,16.61903415,4.30E-50,0.577532241,0.704411438,2013,0.5
0.638696913,0.038288436,522,16.68119604,2.18E-50,0.575718039,0.701675786,2014,0.5
0.60310845,0.039759989,522,15.16872776,2.53E-43,0.537709088,0.668507813,2015,0.5
0.561311159,0.039557714,522,14.1896762,6.93E-39,0.496244509,0.626377809,2016,0.5